date,Region,number,so2
2021-09-20,Tazacorte,1,3.9995931759322034
2021-10-01,Fuencaliente,1,17.45468221794872
2021-10-02,Fuencaliente,1,54.64095280330789
2021-10-03,Villa de Mazo,1,37.11645477675277
2021-10-04,Fuencaliente,1,15.852895721274038
2021-10-04,Villa de Mazo,1,15.852895721274038
2021-10-05,Fuencaliente,1,10.593522087248322
2021-10-05,Villa de Mazo,2,10.593522087248322
2021-10-06,Fuencaliente,4,17.748680047153847
2021-10-06,Villa de Mazo,1,17.748680047153847
2021-10-07,Villa de Mazo,3,23.114003828328173
2021-10-08,Villa de Mazo,4,50.127234789240575
2021-10-09,Fuencaliente,3,31.05948997088091
2021-10-09,Villa de Mazo,5,31.05948997088091
2021-10-10,Fuencaliente,1,9.155494754982168
2021-10-10,Villa de Mazo,4,9.155494754982168
2021-10-11,Fuencaliente,2,20.251884132854432
2021-10-12,Fuencaliente,2,12.406400255752748
2021-10-12,Villa de Mazo,3,12.406400255752748
2021-10-13,Fuencaliente,1,1.3678922044371404
2021-10-13,Villa de Mazo,2,1.3678922044371404
2021-10-14,Fuencaliente,1,20.22771428455218
2021-10-14,Villa de Mazo,3,20.22771428455218
2021-10-15,Fuencaliente,2,39.353594977645685
2021-10-15,Villa de Mazo,3,39.353594977645685
2021-10-16,Fuencaliente,1,32.46705829724182
2021-10-16,Villa de Mazo,3,32.46705829724182
2021-10-17,Fuencaliente,1,8.181092671861078
2021-10-17,Villa de Mazo,4,8.181092671861078
2021-10-18,Fuencaliente,1,5.264309689084659
2021-10-18,Villa de Mazo,3,5.264309689084659
2021-10-19,Fuencaliente,1,30.51204143165376
2021-10-19,Villa de Mazo,3,30.51204143165376
2021-10-20,Villa de Mazo,1,41.84725347955488
2021-10-21,Fuencaliente,2,13.436733182492747
2021-10-21,Villa de Mazo,3,13.436733182492747
2021-10-22,Fuencaliente,5,16.764980088546007
2021-10-22,Villa de Mazo,4,16.764980088546007
2021-10-23,Fuencaliente,5,83.25894493839024
2021-10-23,Villa de Mazo,4,83.25894493839024
2021-10-24,Fuencaliente,10,9.406340716658757
2021-10-24,Villa de Mazo,5,9.406340716658757
2021-10-25,Fuencaliente,2,1.1101203977593062
2021-10-25,Villa de Mazo,3,1.1101203977593062
2021-10-26,Fuencaliente,2,36.52991422045592
2021-10-26,Villa de Mazo,8,36.52991422045592
2021-10-27,Fuencaliente,9,12.464356018613282
2021-10-27,Villa de Mazo,8,12.464356018613282
2021-10-28,Fuencaliente,7,7.016711492563652
2021-10-28,Villa de Mazo,5,7.016711492563652
2021-10-29,Fuencaliente,2,2.9395208910661443
2021-10-29,Villa de Mazo,4,2.9395208910661443
2021-10-30,Fuencaliente,2,7.260380402695348
2021-10-30,Villa de Mazo,2,7.260380402695348
2021-10-31,Fuencaliente,2,29.300910564130806
2021-10-31,Villa de Mazo,2,29.300910564130806
2021-11-01,Fuencaliente,4,53.00883162442558
2021-11-01,Villa de Mazo,5,53.00883162442558
2021-11-02,Fuencaliente,5,5.1009019765134
2021-11-02,Villa de Mazo,3,5.1009019765134
2021-11-03,Fuencaliente,2,18.798443366699715
2021-11-03,Villa de Mazo,4,18.798443366699715
2021-11-04,Fuencaliente,6,3.6858751306953397
2021-11-04,Villa de Mazo,1,3.6858751306953397
2021-11-05,Fuencaliente,1,1.2598282091252653
2021-11-06,Fuencaliente,3,15.547740352383048
2021-11-06,Villa de Mazo,1,15.547740352383048
2021-11-07,Fuencaliente,1,8.173842409488923
2021-11-07,Villa de Mazo,2,8.173842409488923
2021-11-08,Fuencaliente,2,41.84969189978418
2021-11-09,Fuencaliente,1,13.083840808356028
2021-11-09,Villa de Mazo,2,13.083840808356028
2021-11-10,Fuencaliente,5,31.452553564072467
2021-11-10,Villa de Mazo,4,31.452553564072467
2021-11-11,Fuencaliente,1,11.824352758378193
2021-11-11,Villa de Mazo,1,11.824352758378193
2021-11-12,Villa de Mazo,1,27.243436362060255
2021-11-13,Villa de Mazo,1,1.516371082767892
2021-11-14,Fuencaliente,1,17.02998722517891
2021-11-14,Villa de Mazo,2,17.02998722517891
2021-11-15,Villa de Mazo,1,32.51674766749726
2021-11-16,Fuencaliente,2,42.30030804110898
2021-11-16,Villa de Mazo,3,42.30030804110898
2021-11-17,Fuencaliente,15,84.39330378236184
2021-11-17,Villa de Mazo,5,84.39330378236184
2021-11-18,Fuencaliente,4,7.893496101132828
2021-11-18,Villa de Mazo,3,7.893496101132828
2021-11-19,Fuencaliente,3,3.35836568011492
2021-11-19,Villa de Mazo,3,3.35836568011492
2021-11-20,Fuencaliente,1,10.542625051028807
2021-11-20,Villa de Mazo,5,10.542625051028807
2021-11-21,Fuencaliente,1,33.788783146938385
2021-11-21,Villa de Mazo,1,33.788783146938385
2021-11-22,Fuencaliente,1,31.181892000927327
2021-11-22,Villa de Mazo,7,31.181892000927327
2021-11-23,Villa de Mazo,5,59.06420613687901
2021-11-24,Fuencaliente,1,77.51885349669777
2021-11-24,Villa de Mazo,1,77.51885349669777
2021-11-25,Fuencaliente,3,13.485987416106882
2021-11-25,Villa de Mazo,1,13.485987416106882
2021-11-27,Villa de Mazo,1,26.16036856468522
2021-11-28,Villa de Mazo,3,119.51137646870573
2021-11-29,Fuencaliente,3,36.151026970736346
2021-11-29,Villa de Mazo,2,36.151026970736346
2021-11-30,El Paso,1,4.299372680140444
2021-11-30,Fuencaliente,10,4.299372680140444
2021-11-30,Villa de Mazo,2,4.299372680140444
2021-12-01,Fuencaliente,8,9.196684173791006
2021-12-01,Villa de Mazo,3,9.196684173791006
2021-12-02,Fuencaliente,1,9.219730443386847
2021-12-02,Villa de Mazo,1,9.219730443386847
2021-12-05,Fuencaliente,1,103.91572105380223
2021-12-07,Fuencaliente,1,119.59993626152418
2021-12-07,Villa de Mazo,1,119.59993626152418
2021-12-08,Villa de Mazo,1,185.7300690243343
2021-12-10,Fuencaliente,1,96.35094106965708
2021-12-10,Villa de Mazo,1,96.35094106965708
